customerID,tenure,MonthlyCharges,TotalCharges,Contract,Churn
2179-RGCDG,57,33.57,1925.61,Month-to-month,Yes
9654-JRXTH,11,44.63,486.93,One year,No
2603-XGKSE,54,20.01,1091.3,MONTH-TO-MONTH,No
3914-HUZAA,64,37.32,2387.72,Month-to-month ,Yes
5810-XPHTT,36,80.22,2890.03,Two year,No
6066-QOSOJ,67,31.45,2092.42,two year,No
8021-ZGKJU,29,46.9,1345.15,Two year,No
6825-TZUMF,44,113.58,5012.16,month-to-month,Yes
9670-QWFHG,51,62.05,3158.91,One year,No
6643-GARIE,16,45.51,738.21,Month-to-month,No
8189-RGGIQ,30,45.28,1366.04,MONTH-TO-MONTH,No
1071-JCSVZ,44,70.54,3106.1,two year,No
7456-AAMLH,18,56.36,1003.11,Month-to-month,Yes
8013-TWHBR,19,45.1,857.23,Month-to-month,Yes
9617-BTGBG,26,84.29,2190.35,Month-to-month,Yes
2271-TOWIS,63,64.53,4075.59,One year,No
9873-PWDOT,21,19.89,421.74,two year,No
3555-ZSPJG,24,115.41,2784.69,Month-to-month,No
6003-JEBYX,34,78.21,2672.1,Month-to-month,No
8045-SPQVR,29,83.44,2418.38,One year,No
9708-PRPAP,66,104.0,6868.86,Month-to-month,Yes
3185-XDOIV,70,114.0,7985.31,month-to-month,No
7254-FTYGP,50,39.07,1946.14,month-to-month,No
3654-LTETO,22,41.22,906.78,One year,No
7895-QNVFX,52,82.27,4281.13,Month-to-month,No
9506-JWLFM,2,102.56,205.77,One year,No
9263-OVARU,29,22.27,649.94,Month-to-month,Yes
6106-ZYALV,57,57.46,3287.72,Two Year,No
8162-NNRKJ,44,19.06,825.69,month-to-month,No
3486-QLARZ,11,30.38,333.35,Month-to-month,Yes
8959-GRRRH,66,65.52,4332.34,Month-to-month,No
6453-ZLDFC,43,50.57,2170.56,One year,No
3877-FCCPM,35,31.98,1124.4,Month-to-month,Yes
3207-AUSLB,18,97.78,1757.1,Two year,Yes
7973-QHZFO,20,113.26,2273.28,MONTH-TO-MONTH,Yes
2274-YWXDL,12,57.28,673.01,two year,No
6946-CNKKB,15,111.13,1668.57,month-to-month,Yes
8355-GCENR,58,97.24,5624.96,Month-to-month,No
4045-MUUJR,41,61.71,2534.23,MONTH-TO-MONTH,Yes
3970-WKCYA,17,75.33,1273.35,One Year,No
6862-VLOPO,42,81.1,3415.6,Month-to-month,Yes
2002-HCTLA,68,42.84,2900.78,Month-to-month,Yes
4099-FCUHP,45,70.76,3173.67,Month-to-month,No
6150-APIAL,5,92.15,450.06,One year,Yes
6939-DQKZY,17,73.41,1239.12,Month-to-month,Yes
7653-VCHJF,7,49.0,331.32,Two year,No
6578-BEYPH,45,54.41,2456.68,Two Year,No
3016-DZVFW,4,51.07,200.98,One year,No
2672-LROZE,60,31.95,1925.28,One Year,No
6217-AOPXM,66,30.12,1997.23,Month-to-month,No
4831-OIFQC,21,20.74,423.74,Month-to-month,Yes
4612-CMIMZ,0,84.6,,MONTH-TO-MONTH,No
7160-KXYQF,32,90.34,2883.13,Month-to-month,Yes
9206-KOOWZ,62,96.27,5980.71,Month-to-month,No
7890-JKAHV,8,116.93,929.79,Month-to-month,Yes
8413-EZGQD,33,45.13,1490.9,One year,No
3760-CSIQJ,45,55.59,2503.08,Month-to-month,No
8920-BDTYR,38,63.01,2398.96,One year,No
5132-EXHVD,64,66.97,4288.84,Two Year,No
1712-VJJIP,4,86.87,340.12,two year,No
4473-EYBUF,71,101.09,7166.78,One year,No
7771-MHODV,45,41.51,1874.08,One Year,No
6305-YKBVC,7,39.9,266.88,Two year,No
8967-PFYHC,57,101.52,5800.54,One Year,Yes
4921-BCUXZ,51,114.38,5833.21,Two year,No
7287-MUZFD,5,67.24,322.8,Two Year,No
5332-CMLEO,1,27.28,20.86,Month-to-month,No
1206-KUSNQ,59,44.24,N/A,Month-to-month,Yes
8277-CWSBD,63,95.67,6015.51,One year,No
9760-XWZZQ,7,51.82,367.49,one year,No
,0,25.15,,month-to-month,Yes
2433-VQHCC,26,52.32,1353.15,Month-to-month,No
6810-ETITR,32,56.05,1800.72,Month-to-month,No
5561-SZRJF,10,41.66,408.6,Month-to-month,No
8258-AVNEL,52,76.28,3955.7,Month-to-month,No
2971-OINOU,13,23.8,300.14,Two year,No
7651-DXOSC,7,36.7,268.76,One Year,Yes
6314-LNADZ,58,100.55,5843.43,One year,Yes
8206-CACUE,70,107.12,7503.49,two year,No
1539-PFQAD,29,89.24,2594.82,One year,No
3861-NBQZS,61,18.65,1147.98,One year,No
9412-BXRFM,36,94.99,3433.76,Month-to-month,Yes
3085-KCKOD,50,76.34,3814.54,Two Year,No
4206-JXFJX,3,43.3,133.66,One year,No
1756-UWEWZ,38,100.11,3793.74,One year,Yes
7852-KEHVI,21,29.14,610.63,Month-to-month,Yes
4628-GXCQP,28,110.86,3090.77,MONTH-TO-MONTH,No
,44,113.58,5012.16,month-to-month,Yes
4612-CMIMZ,0,84.6,,MONTH-TO-MONTH,No
6071-FEICH,25,97.18,2417.23,Month-to-month,Yes
7100-BSYLD,17,108.64,1850.52,month-to-month,No
2785-BXUTF,39,47.43,1859.27,Month-to-month,Yes
6355-EKPJW,68,103.65,7054.13,month-to-month,Yes
9096-DSQBV,65,92.85,6044.62,One year,No
9572-ZHYXC,64,44.56,2843.92,Month-to-month,No
4793-MCQCU,71,82.05,5821.22,One Year,No
4744-ZCGBU,34,101.62,3465.57,one year,No
3625-QWQPF,60,40.25,2411.99,Month-to-month,No
2411-KQJHL,69,56.69,3923.13,MONTH-TO-MONTH,No
9747-XBWXY,13,38.72,489.38,Month-to-month,No
7095-OYJGL,33,36.41,1213.23,Month-to-month,Yes
2511-EIZVN,14,48.08,668.42,One year,No
7774-IWMUG,22,56.66,1231.75,Month-to-month,No
6681-MBOSV,36,18.13,643.74,Month-to-month,No
6639-XKFUA,1,83.84,80.9,Month-to-month,Yes
8508-VVKBJ,46,63.08,2901.98,Month-to-month,No
8417-YUOHB,42,92.02,3850.31,Two year,No
5265-FGGDW,24,58.4,1416.37,Month-to-month,Yes
5959-DTCER,11,83.5,923.46,Month-to-month,Yes
3999-XIAVX,13,73.42,944.29,Month-to-month,No
9611-AZBJK,42,103.99,4369.51,One year,No
7428-KKMKE,26,29.21,762.48,month-to-month,No
6774-DFPHV,12,93.81,1133.51,one year,No
6017-QIGKJ,64,20.38,1307.89,month-to-month,Yes
5744-KOOOR,13,83.17,1077.38,One year,Yes
6913-IFXPB,21,92.18,1930.72,Two year,No
1365-BOHNN,52,78.09,4051.81,One year,No
1692-HDXZD,70,111.2,7779.41,One year,No
9242-TVQLB,26,70.21,1838.3,month-to-month,No
1793-SJIZN,36,21.16,759.15,One year,No
8996-ZMMCC,43,66.82,2879.02,one year,No
6819-VKNHN,26,98.78,2563.21,One year,No
3270-QHBYD,60,46.74,2797.07,Month-to-month,No
9791-CJAWP,19,115.46,2196.81,One year,Yes
7365-UTMEU,42,114.51,4816.07,Month-to-month,No
7332-UXVDM,1,93.33,103.01,One Year,No
6185-YHSPU,8,41.85,334.06,Month-to-month,No
1976-QMNUM,58,43.34,2504.11,Month-to-month,Yes
2479-DNYDV,65,29.49,1912.81,Month-to-month,No
4975-YFLXA,6,109.38,650.27,Month-to-month,Yes
7890-JKAHV,-5,116.93,929.79,Month-to-month,Yes
2391-SEDDX,18,78.78,1417.27,One year,No
9560-MMLUQ,41,42.3,1727.56,Month-to-month,No
7973-QHZFO,20,113.26,2273.28,MONTH-TO-MONTH,Yes
2222-EVRKM,20,63.76,1267.08,One year,No
5153-QERSF,58,76.42,4420.75,Month-to-month,No
3084-ASXMP,0,112.88,,Month-to-month,Yes
6894-ZLNRX,32,82.24,2628.51,Two Year,No
9983-DAZQN,17,106.92,1827.42,month-to-month,Yes
5630-WQFTZ,6,100.57,614.69,Month-to-month,Yes
3627-VMORV,47,119.99,5644.81,month-to-month,Yes
3888-XEHLO,44,65.82,2897.36,One year,No
7044-PJTLE,6,70.64,418.14,Month-to-month,No
8314-BRPZR,19,60.07,1129.39,MONTH-TO-MONTH,Yes
4744-ZCGBU,34,101.62,3465.57,one year,No
1467-ABTZV,12,67.44,821.21,MONTH-TO-MONTH,No
1979-IYSME,14,83.78,1176.81,Month-to-month,No
2032-JLKBX,5,81.26,398.78,month-to-month,No
1076-JYZBJ,31,106.28,3289.31,Two year,No
1682-KHQCY,19,91.03,1740.94,One year,No
5162-XBABW,10,49.87,501.7,Month-to-month,No
8208-RNVJT,66,115.85,7653.26,Month-to-month,Yes
1615-QHDGQ,14,48.64,694.27,Month-to-month,Yes
6122-TTFHQ,53,109.35,5784.51,MONTH-TO-MONTH,No
7955-BOYQP,7,58.46,423.51,One year,No
2314-WRUDN,64,95.2,6081.24,One year,No
6370-WLUPN,50,43.23,2148.44,one year,No
